"Season","Site","CoreName","CoreNo","N2Flux","Age","Habitat","PosN2","SquareRtN2","logN2","N2BoxCox"
"Summer","IMS","LO",1,0.717366511666667,0,"oyster",21.7173665116667,4.6601895360239,1.3368071607514,6.83484518764937
"Summer","IMS","LO",2,18.985148491,0,"oyster",39.985148491,6.32338109645465,1.60189871317564,9.7781952784204
"Summer","IMS","LO",3,10.464326507,0,"oyster",31.464326507,5.60930713252537,1.49781844012215,8.52233239428947
"Summer","IMS","HO",1,20.7277537233333,0,"oyster",41.7277537233333,6.45970229370776,1.62042500652292,10.0167513187916
"Summer","IMS","HO",2,17.307412752,0,"oyster",38.307412752,6.18929824390455,1.58328282111716,9.54319476289382
"Summer","IMS","HO",3,3.43548274633333,0,"oyster",24.4354827463333,4.94322594530468,1.38802092335182,7.34045636213724
"Summer","IMS","MM",1,79.21990195,0,"marsh",100.21990195,10.0109890595285,2.00095397351527,16.1226588264861
"Summer","IMS","MM",2,26.1731638433333,0,"marsh",47.1731638433333,6.86827226042571,1.67369500479399,10.7295925752648
"Summer","IMS","MM",3,-3.02558578233333,0,"marsh",17.9744142176667,4.2396243014761,1.25465474572082,6.07941457001707
"Summer","IMS","Ref",1,36.4997123333333,0,"Ref",57.4997123333333,7.58285647584954,1.75966567195296,11.9691262147871
"Summer","IMS","Ref",2,8.22867104133333,0,"Ref",29.2286710413333,5.40635469067035,1.46580906946156,8.16334799943983
"Summer","IMS","Ref",3,2.47752301033333,0,"Ref",23.4775230103333,4.84536097833106,1.37065227487158,7.1658740955681
"Summer","Carrot","LO",1,29.4798325433333,2,"oyster",50.4798325433333,7.10491608277911,1.70311790555409,11.141063973624
"Summer","Carrot","LO",2,26.9560822866667,2,"oyster",47.9560822866667,6.92503301700914,1.68084369672083,10.8283787809019
"Summer","Carrot","LO",3,8.91213715366667,2,"oyster",29.9121371536667,5.46919894990726,1.47584744348556,8.27460963872226
"Summer","Carrot","HO",1,57.7354943666667,2,"oyster",78.7354943666667,8.87330233716099,1.89617055869296,14.1868257994335
"Summer","Carrot","HO",2,65.4085138,2,"oyster",86.4085138,9.29561798913875,1.93655653546729,14.907389956468
"Summer","Carrot","HO",3,45.84880884,2,"oyster",66.84880884,8.17611208582661,1.82509367309652,12.9917877685264
"Summer","Carrot","LM",1,14.2286348063333,2,"marsh",35.2286348063333,5.93537149691014,1.54689581355978,9.09713728850579
"Summer","Carrot","LM",2,19.3558919633333,2,"marsh",40.3558919633333,6.35262874433359,1.60590695071505,9.82940829830742
"Summer","Carrot","LM",3,14.6557571366667,2,"marsh",35.6557571366667,5.97124418665547,1.55212966296266,9.16023467736157
"Summer","Carrot","MM",1,26.6603716533333,2,"marsh",47.6603716533333,6.90364915485523,1.67815742463156,10.7911692583366
"Summer","Carrot","MM",2,25.9701644066667,2,"marsh",46.9701644066667,6.85347827067882,1.67182208031915,10.7038355330461
"Summer","Carrot","MM",3,5.795160141,2,"marsh",26.795160141,5.17640417094724,1.42805635694391,7.75543263079743
"Summer","Carrot","HM",1,24.3906860933333,2,"marsh",45.3906860933333,6.73726102309635,1.65696674727902,10.5013557589253
"Summer","Carrot","HM",2,10.5532912266667,2,"marsh",31.5532912266667,5.61723163370238,1.49904466586324,8.53633014932575
"Summer","Carrot","HM",3,33.56049807,2,"marsh",54.56049807,7.38650783997418,1.73687832623906,11.6294083676698
"Summer","Carrot","Ref",1,29.6724940233333,2,"Ref",50.6724940233333,7.11846149271971,1.7047722801327,11.1645862915917
"Summer","Carrot","Ref",2,26.4567718543333,2,"Ref",47.4567718543333,6.88888756290399,1.67629819293038,10.7654781417975
"Summer","Carrot","Ref",3,33.6643034733333,2,"Ref",54.6643034733333,7.39353119107056,1.73770381874251,11.6415711208616
"Summer","NOAA","LO",1,29.8175825933333,7,"oyster",50.8175825933333,7.12864521443825,1.70601400169533,11.1822687384146
"Summer","NOAA","LO",2,78.6706590766667,7,"oyster",99.6706590766667,9.98351937328048,1.99856733006202,16.0761117625255
"Summer","NOAA","LO",3,109.16568502,7,"oyster",130.16568502,11.4090177061831,2.11449650826699,18.4800141296096
"Summer","NOAA","HO",1,89.80072977,7,"oyster",110.80072977,10.5261925580905,2.04454262080794,16.9939905671347
"Summer","NOAA","HO",2,54.9042631166667,7,"oyster",75.9042631166667,8.71230526994243,1.88026616846531,13.9114845636928
"Summer","NOAA","HO",3,44.1546931733333,7,"oyster",65.1546931733333,8.07184571045144,1.81394570394533,12.8124502527732
"Summer","NOAA","LM",1,66.14339751,7,"marsh",87.14339751,9.33506280160985,1.94023448801976,14.9745695865133
"Summer","NOAA","LM",2,104.676139563333,7,"marsh",125.676139563333,11.2105369881792,2.09925283186569,18.1466644391482
"Summer","NOAA","LM",3,158.431393066667,7,"marsh",179.431393066667,13.3952003742634,2.25389842891362,21.7940209499275
"Summer","NOAA","MM",1,43.9447537456667,7,"marsh",64.9447537456667,8.05883079271843,1.81254407440318,12.7900530077889
"Summer","NOAA","MM",2,80.9302457166667,7,"marsh",101.930245716667,10.0960509961404,2.00830307113895,16.2667370865436
"Summer","NOAA","MM",3,63.25639315,7,"marsh",84.25639315,9.17912812580803,1.9256028638986,14.7088724265781
"Summer","NOAA","HM",1,45.20627051,7,"marsh",66.20627051,8.13672357340472,1.82089912416668,12.9240592391057
"Summer","NOAA","HM",2,53.33593088,7,"marsh",74.33593088,8.62182874336994,1.871198784299,13.7565888955658
"Summer","NOAA","HM",3,46.5063361633333,7,"marsh",67.5063361633333,8.21622396014941,1.82934453774403,13.0607359797787
"Summer","NOAA","Ref",1,57.9345931066667,7,"Ref",78.9345931066667,8.88451423020227,1.89726737460117,14.2059871913993
