"Season","Site","CoreName","CoreNo","Habitat","Age","N2Flux","O2conc","SOD","flux_Nox","flux_NH3"
"Summer","IMS","LO",1,"oyster",0,0.717366511666667,4.429749379,83.2057637533333,-8.459547058,-55.61985665
"Summer","IMS","LO",2,"oyster",0,18.985148491,4.3104621,152.731496566667,-0.333053027,-68.54231437
"Summer","IMS","LO",3,"oyster",0,10.464326507,4.35119607533333,128.989992,-5.928343995,-69.34164165
"Summer","IMS","HO",1,"oyster",0,20.7277537233333,4.189897441,223.0017411,-14.18805924,-70.27419015
"Summer","IMS","HO",2,"oyster",0,17.307412752,4.282618103,168.960169966667,-7.660219774,-54.55408695
"Summer","IMS","HO",3,"oyster",0,3.43548274633333,4.43182304566667,81.99714208,3.397140952,-48.55913233
"Summer","IMS","MM",1,"marsh",0,79.21990195,1.33592120966667,1886.421265,-39.71324376,-83.31654695
"Summer","IMS","MM",2,"marsh",0,26.1731638433333,1.74832846233333,1646.05266333333,-3.796804584,-15.7867138
"Summer","IMS","MM",3,"marsh",0,-3.02558578233333,1.98308251366667,1509.22795233333,-3.530362162,-18.7175805
"Summer","IMS","Ref",1,"Ref",0,36.4997123333333,1.80326349866667,1614.03417266667,-6.061565206,-6.860892509
"Summer","IMS","Ref",2,"Ref",0,8.22867104133333,4.39301302,104.61728631,-2.064928806,-52.02288389
"Summer","IMS","Ref",3,"Ref",0,2.47752301033333,2.13250101666667,1422.14045233333,-4.462910657,-13.7883956
"Summer","Carrot","LO",1,"oyster",2,29.4798325433333,4.02058805466667,638.229770833333,-0.515566094,-37.50177161
"Summer","Carrot","LO",2,"oyster",2,26.9560822866667,4.01626427833333,640.749852966667,-0.515566094,496.5820734
"Summer","Carrot","LO",3,"oyster",2,8.91213715366667,4.58648835266667,308.398851566667,-0.297083298,-5.528680353
"Summer","Carrot","HO",1,"oyster",2,57.7354943666667,3.74309122066667,799.966805433333,-0.515566094,-41.88474954
"Summer","Carrot","HO",2,"oyster",2,65.4085138,2.814476217,1341.203383,-0.515566094,-45.5483329
"Summer","Carrot","HO",3,"oyster",2,45.84880884,3.727820652,808.867146433333,1.336208769,62.41413853
"Summer","Carrot","LM",1,"marsh",2,14.2286348063333,4.770291806,201.270330566667,0.616814227,-5.528680353
"Summer","Carrot","LM",2,"marsh",2,19.3558919633333,4.36926440066667,435.0062699,0.131889009,60.81548398
"Summer","Carrot","LM",3,"marsh",2,14.6557571366667,4.58139252266667,311.368919433333,-0.515566094,-30.30782608
"Summer","Carrot","MM",1,"marsh",2,26.6603716533333,2.07755176533333,1770.7145,-0.515566094,-30.84071094
"Summer","Carrot","MM",2,"marsh",2,25.9701644066667,2.04276111266667,1790.99198166667,-0.515566094,-37.3685504
"Summer","Carrot","MM",3,"marsh",2,5.795160141,2.20603734866667,1695.827602,-0.515566094,-38.83398374
"Summer","Carrot","HM",1,"marsh",2,24.3906860933333,2.04991471333333,1786.822557,-0.515566094,12.05651982
"Summer","Carrot","HM",2,"marsh",2,10.5532912266667,2.166734229,1718.73514266667,-0.515566094,-34.43768369
"Summer","Carrot","HM",3,"marsh",2,33.56049807,1.88613613833333,1882.279722,-0.515566094,-38.96720495
"Summer","Carrot","Ref",1,"Ref",2,29.6724940233333,4.75056746366667,212.766521633333,-0.515566094,-17.11892594
"Summer","Carrot","Ref",2,"Ref",2,26.4567718543333,4.72403476966667,228.2309114,-0.515566094,-41.69823984
"Summer","Carrot","Ref",3,"Ref",2,33.6643034733333,4.57818754566667,313.236917133333,-0.515566094,-35.50345341
"Summer","NOAA","LO",1,"oyster",7,29.8175825933333,2.73443816533333,882.337769466667,-30.90732153,100.781848
"Summer","NOAA","LO",2,"oyster",7,78.6706590766667,0.913279323,1943.787105,-36.36939128,-50.02456568
"Summer","NOAA","LO",3,"oyster",7,109.16568502,0.564367286333333,2147.14797633333,-39.96636405,-22.5809957
"Summer","NOAA","HO",1,"oyster",7,89.80072977,2.212454895,1186.57196533333,-34.90395795,-52.15610511
"Summer","NOAA","HO",2,"oyster",7,54.9042631166667,2.41117088766667,1070.75177766667,-37.43516099,-51.75644145
"Summer","NOAA","HO",3,"oyster",7,44.1546931733333,2.81133632933333,837.518227433333,-42.63078832,-70.74046438
"Summer","NOAA","LM",1,"marsh",7,66.14339751,1.377397664,1673.279067,-30.90732153,66.14433251
"Summer","NOAA","LM",2,"marsh",7,104.676139563333,0.363106773333333,2264.45121933333,-67.14349161,-48.42591113
"Summer","NOAA","LM",3,"marsh",7,158.431393066667,0.322343036333333,2288.21007033333,-62.0810855,18.71758049
"Summer","NOAA","MM",1,"marsh",7,43.9447537456667,1.477856743,1614.72721566667,-17.05231532,68.80875678
"Summer","NOAA","MM",2,"marsh",7,80.9302457166667,0.302228210666667,2299.933852,-69.78127165,-72.20589774
