"Site","Season","Habitat","avg_eff","sd_eff","N","se_eff"
"IMS","Summer","oyster",100,0,6,0
"IMS","Summer","marsh",100,0,2,0
"IMS","Summer","sandflat",100,0,3,0
"IMS","Fall","oyster",100,0,6,0
"IMS","Fall","marsh",80.1507199250111,34.3799615835454,3,11.4599871945151
"IMS","Fall","sandflat",78.0067268712907,36.5454971855493,3,12.1818323951831
"IMS","Winter","oyster",32.2812139157389,38.6666517957085,6,6.44444196595142
"IMS","Winter","marsh",62.5923020957705,6.460708464215,2,3.2303542321075
"IMS","Winter","sandflat",75.9767103523943,41.6095582345964,3,13.8698527448655
"IMS","Spring","oyster",94.1875933724043,14.2374304151807,6,2.37290506919679
"IMS","Spring","marsh",30.1537773706076,30.6438115360463,3,10.2146038453488
"IMS","Spring","sandflat",98.1385260426578,3.22416747108305,3,1.07472249036102
"Carrot","Summer","oyster",88.3666353747165,26.0129941091753,5,5.20259882183506
"Carrot","Summer","marsh",88.0200238265782,26.1499129370612,9,2.90554588189569
"Carrot","Summer","sandflat",100,0,3,0
"Carrot","Fall","oyster",98.5093179100503,3.33326648596899,5,0.666653297193797
"Carrot","Fall","marsh",78.1803273461792,43.6393453076416,4,10.9098363269104
"Carrot","Fall","sandflat",51.7649125159069,50.0933603241629,3,16.697786774721
"Carrot","Winter","oyster",70.9943752954639,31.8488226833252,5,6.36976453666504
"Carrot","Winter","marsh",78.3822405130608,34.4897181665254,9,3.83219090739171
"Carrot","Winter","sandflat",0,NA,1,NA
"Carrot","Spring","oyster",60.9878819049568,33.3178086719476,6,5.55296811199127
"Carrot","Spring","marsh",69.6429415124421,33.8540277793123,8,4.23175347241403
"Carrot","Spring","sandflat",77.2922253141789,39.3310194826685,3,13.1103398275562
"NOAA","Summer","oyster",88.3182786250885,28.6142566858968,6,4.76904278098281
"NOAA","Summer","marsh",90.1290544508462,20.1740247406413,9,2.2415583045157
"NOAA","Summer","sandflat",100,0,3,0
"NOAA","Fall","oyster",100,0,6,0
"NOAA","Fall","marsh",87.0834966382959,25.0172407055358,9,2.77969341172619
"NOAA","Fall","sandflat",100,0,3,0
"NOAA","Winter","oyster",86.1629374654316,22.4563591881596,6,3.74272653135994
"NOAA","Winter","marsh",66.7675853750417,32.4273554012567,9,3.60303948902852
"NOAA","Winter","sandflat",85.1404627386787,25.7374735135713,3,8.57915783785711
"NOAA","Spring","oyster",89.3107087750263,23.9019818103331,5,4.78039636206663
"NOAA","Spring","marsh",94.254553285706,14.5766000139009,9,1.61962222376677
"NOAA","Spring","sandflat",98.9822645115277,1.76276957469996,3,0.587589858233319
"Army","Summer","oyster",78.4020001793266,27.4491943626831,6,4.57486572711384
"Army","Summer","marsh",91.3228141316233,16.7927037812913,9,1.86585597569903
"Army","Summer","sandflat",100,0,3,0
"Army","Fall","oyster",94.9584881736313,11.2731631531296,5,2.25463263062591
"Army","Fall","marsh",51.1202320238668,42.8134062237166,8,5.35167577796457
"Army","Fall","sandflat",74.9558239388758,7.03263509730814,3,2.34421169910271
"Army","Winter","oyster",59.740210401977,45.0297165349781,6,7.50495275582968
"Army","Winter","marsh",59.0926190529274,46.0841024060442,8,5.76051280075552
"Army","Winter","sandflat",70.8068917442425,50.5639467298305,3,16.8546489099435
"Army","Spring","oyster",93.2183226812133,16.6116490312333,6,2.76860817187222
"Army","Spring","marsh",87.4567553035,17.4704802362737,9,1.94116447069708
"Army","Spring","sandflat",96.2025153054799,6.57743643187393,3,2.19247881062464
