"Season","Site","CoreName","avg_SOD"
"Summer","IMS","LO",121.64241744
"Summer","IMS","HO",157.986351048889
"Summer","IMS","MM",1680.56729355556
"Summer","IMS","Ref",1046.93063710333
"Summer","Carrot","LO",529.126158455555
"Summer","Carrot","HO",983.345778288889
"Summer","Carrot","LM",315.881839966667
"Summer","Carrot","MM",1752.51136122222
"Summer","Carrot","HM",1795.94580722222
"Summer","Carrot","Ref",251.411450055556
"Summer","NOAA","LO",1657.75761693333
"Summer","NOAA","HO",1031.61399014444
"Summer","NOAA","LM",2075.31345222222
"Summer","NOAA","MM",1976.33699211111
"Summer","NOAA","HM",1645.31623866667
"Summer","NOAA","Ref",874.750671631111
"Summer","Army","LO",2202.64942090833
"Summer","Army","HO",575.753612291667
"Summer","Army","LM",2527.85334266667
"Summer","Army","MM",2226.516014
"Summer","Army","HM",2467.82710941667
"Summer","Army","Ref",449.847019108333
"Fall","IMS","LO",856.768686366667
"Fall","IMS","HO",875.089497477778
"Fall","IMS","MM",735.9682727
"Fall","IMS","Ref",752.795463266667
"Fall","IMS","LoRef",636.919969433333
"Fall","IMS","HiRef",618.3580753
"Fall","Carrot","LO",336.143816166667
"Fall","Carrot","HO",218.093238255556
"Fall","Carrot","LM",149.373685066667
"Fall","Carrot","MM",260.395411045556
"Fall","Carrot","HM",157.849160078889
"Fall","Carrot","Ref",133.782682873333
"Fall","Carrot","LoRef",166.798276766667
"Fall","Carrot","HiRef",272.5675314
"Fall","NOAA","LO",1177.7160544
"Fall","NOAA","HO",1116.45624623333
"Fall","NOAA","LM",1201.94437715333
"Fall","NOAA","MM",1356.53828093333
"Fall","NOAA","HM",1550.88025730667
"Fall","NOAA","Ref",1431.22728924667
"Fall","NOAA","LoRef",730.9077976
"Fall","NOAA","HiRef",523.12652194
"Fall","Army","LO",228.222512558556
"Fall","Army","HO",278.383178422222
"Fall","Army","LM",250.642005167778
"Fall","Army","MM",478.114251355556
"Fall","Army","HM",653.852235533333
"Fall","Army","Ref",272.690256556667
"Fall","Army","LoRef",216.51061738
"Fall","Army","HiRef",254.5437816
"Winter","IMS","LO",110.865988502667
"Winter","IMS","HO",58.411579084
"Winter","IMS","MM",388.878063853333
"Winter","IMS","Ref",140.830111719333
"Winter","IMS","LoRef",72.865969108
"Winter","IMS","HiRef",463.39829282
"Winter","Carrot","LO",350.397144316667
"Winter","Carrot","HO",532.23152640875
"Winter","Carrot","LM",86.2050791283333
"Winter","Carrot","MM",113.76787488
"Winter","Carrot","HM",167.147261705
"Winter","Carrot","Ref",46.67813585
"Winter","Carrot","LoRef",108.7843416725
"Winter","Carrot","HiRef",127.31750465
"Winter","NOAA","LO",520.023796406667
"Winter","NOAA","HO",1105.75453453333
"Winter","NOAA","LM",769.045927673333
"Winter","NOAA","MM",568.63860774
"Winter","NOAA","HM",258.23505815
"Winter","NOAA","Ref",421.344392746667
"Winter","NOAA","LoRef",1122.9622798
"Winter","NOAA","HiRef",354.8386264
"Winter","Army","LO",87.247520034
"Winter","Army","HO",61.921919094
"Winter","Army","LM",72.0198518913333
"Winter","Army","MM",134.484760430667
"Winter","Army","HM",80.9506277366667
"Winter","Army","Ref",203.709793700667
"Winter","Army","LoRef",68.41928449
"Winter","Army","HiRef",79.563346328
"Spring","IMS","LO",1388.71748346667
"Spring","IMS","HO",1476.46314368667
"Spring","IMS","MM",1343.5363624
"Spring","IMS","Ref",694.1019864
"Spring","IMS","LoRef",610.16380466
"Spring","IMS","HiRef",1477.8529556
"Spring","Carrot","LO",820.338084653333
"Spring","Carrot","HO",668.883275593333
"Spring","Carrot","LM",478.968912873333
"Spring","Carrot","MM",358.260808273333
"Spring","Carrot","HM",550.135659753333
"Spring","Carrot","Ref",1855.44704932
"Spring","Carrot","LoRef",518.55408122
"Spring","Carrot","HiRef",404.45863538
"Spring","NOAA","LO",1725.34837566667
"Spring","NOAA","HO",1607.09897046667
"Spring","NOAA","LM",2441.79083966667
"Spring","NOAA","MM",2183.84902616667
"Spring","NOAA","HM",624.949106675
"Spring","NOAA","Ref",1428.48912158333
"Spring","NOAA","LoRef",1094.540278
"Spring","NOAA","HiRef",214.5534864
"Spring","Army","LO",436.383783553333
"Spring","Army","HO",250.260811016667
"Spring","Army","LM",292.022893873333
"Spring","Army","MM",459.806133246667
"Spring","Army","HM",654.306036071333
"Spring","Army","Ref",235.900652653
"Spring","Army","LoRef",1366.8856062
"Spring","Army","HiRef",285.46826482
"Summer15","IMS","LO",1553.38570458667
"Summer15","IMS","HO",587.812226326667
"Summer15","IMS","MM",1920.39011066667
"Summer15","Carrot","LO",627.969942777778
"Summer15","Carrot","HO",1823.07070527778
"Summer15","Carrot","MM",727.406373294445
"Summer15","NOAA","LO",530.99785878
"Summer15","NOAA","HO",1099.26474074
"Summer15","NOAA","MM",2153.35062468667
"Summer15","Army","LO",1033.80390065556
"Summer15","Army","HO",1095.35495136111
"Summer15","Army","MM",1119.14028536667
