"Season","Site","CoreName","CoreNo","N2Flux","Age","Habitat"
"Summer","IMS","LO",1,0.717366511666667,0,"oyster"
"Summer","IMS","LO",2,18.985148491,0,"oyster"
"Summer","IMS","LO",3,10.464326507,0,"oyster"
"Summer","IMS","HO",1,20.7277537233333,0,"oyster"
"Summer","IMS","HO",2,17.307412752,0,"oyster"
"Summer","IMS","HO",3,3.43548274633333,0,"oyster"
"Summer","IMS","MM",1,79.21990195,0,"marsh"
"Summer","IMS","MM",2,26.1731638433333,0,"marsh"
"Summer","IMS","MM",3,-3.02558578233333,0,"marsh"
"Summer","IMS","Ref",1,36.4997123333333,0,"Ref"
"Summer","IMS","Ref",2,8.22867104133333,0,"Ref"
"Summer","IMS","Ref",3,2.47752301033333,0,"Ref"
"Summer","Carrot","LO",1,29.4798325433333,2,"oyster"
"Summer","Carrot","LO",2,26.9560822866667,2,"oyster"
"Summer","Carrot","LO",3,8.91213715366667,2,"oyster"
"Summer","Carrot","HO",1,57.7354943666667,2,"oyster"
"Summer","Carrot","HO",2,65.4085138,2,"oyster"
"Summer","Carrot","HO",3,45.84880884,2,"oyster"
"Summer","Carrot","LM",1,14.2286348063333,2,"marsh"
"Summer","Carrot","LM",2,19.3558919633333,2,"marsh"
"Summer","Carrot","LM",3,14.6557571366667,2,"marsh"
"Summer","Carrot","MM",1,26.6603716533333,2,"marsh"
"Summer","Carrot","MM",2,25.9701644066667,2,"marsh"
"Summer","Carrot","MM",3,5.795160141,2,"marsh"
"Summer","Carrot","HM",1,24.3906860933333,2,"marsh"
"Summer","Carrot","HM",2,10.5532912266667,2,"marsh"
"Summer","Carrot","HM",3,33.56049807,2,"marsh"
"Summer","Carrot","Ref",1,29.6724940233333,2,"Ref"
"Summer","Carrot","Ref",2,26.4567718543333,2,"Ref"
"Summer","Carrot","Ref",3,33.6643034733333,2,"Ref"
"Summer","NOAA","LO",1,29.8175825933333,7,"oyster"
"Summer","NOAA","LO",2,78.6706590766667,7,"oyster"
"Summer","NOAA","LO",3,109.16568502,7,"oyster"
"Summer","NOAA","HO",1,89.80072977,7,"oyster"
"Summer","NOAA","HO",2,54.9042631166667,7,"oyster"
"Summer","NOAA","HO",3,44.1546931733333,7,"oyster"
"Summer","NOAA","LM",1,66.14339751,7,"marsh"
"Summer","NOAA","LM",2,104.676139563333,7,"marsh"
"Summer","NOAA","LM",3,158.431393066667,7,"marsh"
"Summer","NOAA","MM",1,43.9447537456667,7,"marsh"
"Summer","NOAA","MM",2,80.9302457166667,7,"marsh"
"Summer","NOAA","MM",3,63.25639315,7,"marsh"
"Summer","NOAA","HM",1,45.20627051,7,"marsh"
"Summer","NOAA","HM",2,53.33593088,7,"marsh"
"Summer","NOAA","HM",3,46.5063361633333,7,"marsh"
"Summer","NOAA","Ref",1,57.9345931066667,7,"Ref"
"Summer","NOAA","Ref",2,80.0008122433333,7,"Ref"
"Summer","NOAA","Ref",3,39.60676494,7,"Ref"
"Summer","Army","LO",1,86.7557484825,20,"oyster"
"Summer","Army","LO",2,92.28878158,20,"oyster"
"Summer","Army","LO",3,115.6036883275,20,"oyster"
"Summer","Army","HO",1,53.1002929575,20,"oyster"
"Summer","Army","HO",2,38.814449965,20,"oyster"
"Summer","Army","HO",3,32.4732702025,20,"oyster"
"Summer","Army","LM",1,76.5711626275,20,"marsh"
"Summer","Army","LM",2,84.9162493625,20,"marsh"
"Summer","Army","LM",3,92.283261275,20,"marsh"
"Summer","Army","MM",1,45.542148055,20,"marsh"
"Summer","Army","MM",2,74.3763573825,20,"marsh"
"Summer","Army","MM",3,32.666448065,20,"marsh"
"Summer","Army","HM",1,79.1893846025,20,"marsh"
"Summer","Army","HM",2,88.7781130675,20,"marsh"
"Summer","Army","HM",3,48.2452713575,20,"marsh"
"Summer","Army","Ref",1,23.35495007,20,"Ref"
"Summer","Army","Ref",2,20.9026047675,20,"Ref"
"Summer","Army","Ref",3,18.6095048925,20,"Ref"
"Fall","IMS","LO",1,26.7157998066667,0,"oyster"
"Fall","IMS","LO",2,68.15514873,0,"oyster"
"Fall","IMS","LO",3,28.7893094966667,0,"oyster"
"Fall","IMS","HO",1,68.1509289233333,0,"oyster"
"Fall","IMS","HO",2,31.8971299,0,"oyster"
"Fall","IMS","HO",3,44.7787467166667,0,"oyster"
"Fall","IMS","MM",1,60.8802379,0,"marsh"
"Fall","IMS","MM",2,3.25808735733333,0,"marsh"
"Fall","IMS","MM",3,43.6436758166667,0,"marsh"
"Fall","IMS","Ref",1,29.4311835333333,0,"Ref"
"Fall","IMS","Ref",2,36.9852236833333,0,"Ref"
"Fall","IMS","Ref",3,32.6602138466667,0,"Ref"
"Fall","IMS","LoRef",1,32.5168765066667,0,"LoRef"
"Fall","IMS","HiRef",1,35.49749796,0,"HiRef"
"Fall","Carrot","LO",1,35.5645424933333,2,"oyster"
"Fall","Carrot","LO",2,34.3116724533333,2,"oyster"
"Fall","Carrot","LO",3,-2.61168216,2,"oyster"
"Fall","Carrot","HO",1,14.4593072946667,2,"oyster"
"Fall","Carrot","HO",2,9.52033507633333,2,"oyster"
"Fall","Carrot","HO",3,8.05111755466667,2,"oyster"
"Fall","Carrot","LM",1,-2.07748506,2,"marsh"
"Fall","Carrot","LM",2,-0.603550442666667,2,"marsh"
"Fall","Carrot","LM",3,0.456315098666666,2,"marsh"
"Fall","Carrot","MM",1,10.042963262,2,"marsh"
"Fall","Carrot","MM",2,32.8424238666667,2,"marsh"
"Fall","Carrot","MM",3,-12.546391451,2,"marsh"
"Fall","Carrot","HM",1,-5.55170166866667,2,"marsh"
"Fall","Carrot","HM",2,-10.4939150633333,2,"marsh"
"Fall","Carrot","HM",3,21.19054186,2,"marsh"
"Fall","Carrot","Ref",1,5.190498768,2,"Ref"
"Fall","Carrot","Ref",2,4.207705233,2,"Ref"
"Fall","Carrot","Ref",3,-9.992174374,2,"Ref"
"Fall","Carrot","LoRef",1,-3.22201631633333,2,"LoRef"
"Fall","Carrot","HiRef",1,12.677876514,2,"HiRef"
"Fall","NOAA","LO",1,32.22364712,7,"oyster"
"Fall","NOAA","LO",2,43.74692063,7,"oyster"
